Date,Open,High,Low,Close,Adj Close,Volume,Day
2/14/2022,193.479996,203.559998,193.460007,195.25,195.25,4528100,0
2/15/2022,202.309998,209.309998,201.179993,208.949997,208.949997,3714300,1
2/16/2022,205.380005,214.020004,203.830002,207.960007,207.960007,3593600,2
2/17/2022,202.100006,206.309998,188.929993,191.919998,191.919998,4740600,3
2/18/2022,191.080002,192.720001,180.539993,189.160004,189.160004,4502200,4
2/22/2022,180.869995,185.75,173.160004,176.759995,176.759995,4472800,5
2/23/2022,180.690002,183.339996,171.770004,172.740005,172.740005,3892500,6
2/24/2022,159.080002,183,155.919998,179.559998,179.559998,8134000,7
2/25/2022,180.240005,182.089996,170.399994,176.830002,176.830002,6836800,8
2/28/2022,172.5,192.229996,172.089996,190.770004,190.770004,8036300,9
3/1/2022,196.279999,205.880005,189.630005,196.169998,196.169998,7779200,10
3/2/2022,192.259995,196.149994,189.509995,194.5,194.5,3414100,11
3/3/2022,194.710007,194.919998,177.149994,178.029999,178.029999,3734400,12
3/4/2022,177.610001,178.660004,162.160004,165.75,165.75,5848700,13
3/7/2022,168.25,172.979996,160.229996,161.139999,161.139999,4424000,14
3/8/2022,160.100006,168.350006,156.529999,161.990005,161.990005,3840800,15
3/9/2022,174.259995,181.449997,173.509995,178.970001,178.970001,4945200,16
3/10/2022,173.139999,174.490005,168.100006,172.970001,172.970001,2670600,17
3/11/2022,175.350006,175.75,160,160.070007,160.070007,3660500,18
3/14/2022,159.990005,161.699997,150.419998,153.190002,153.190002,4450000,19
3/15/2022,152.899994,156.419998,150.119995,155.979996,155.979996,4245400,20
3/16/2022,160.470001,173.070007,160,172.529999,172.529999,5974300,21
3/17/2022,170.729996,177.5,168,177.220001,177.220001,2975900,22
3/18/2022,175.029999,186.690002,175,185.940002,185.940002,4835700,23
3/21/2022,181.800003,183.589996,171.699997,176.809998,176.809998,4214000,24
3/22/2022,180.5,188.809998,178.5,186.080002,186.080002,4086100,25
3/23/2022,184.720001,189.550003,181.800003,183.110001,183.110001,2311900,26
3/24/2022,185.259995,192,179.5,190.190002,190.190002,3536500,27
3/25/2022,192,195.699997,182.800003,186.710007,186.710007,3598300,28
3/28/2022,193.309998,203.270004,193.009995,201.410004,201.410004,6624000,29
3/29/2022,198.949997,206.789993,194.050003,204.529999,204.529999,4811500,30
3/30/2022,201.289993,206.330002,194.759995,196.699997,196.699997,3775900,31
3/31/2022,197.25,198.080002,189.559998,189.860001,189.860001,2999200,32
4/1/2022,189.860001,191.869995,184.389999,186.960007,186.960007,2975900,33
4/4/2022,187.339996,193.070007,186.160004,191.649994,191.649994,2488800,34
4/5/2022,189.759995,191.330002,176.259995,177.169998,177.169998,5012800,35
4/6/2022,172.830002,174.330002,165.009995,166.839996,166.839996,4675300,36
4/7/2022,166.710007,169.419998,160.679993,166.190002,166.190002,3093600,37
4/8/2022,165.210007,166,160.130005,160.940002,160.940002,2951000,38
4/11/2022,156.570007,157.559998,151.729996,153.869995,153.869995,4305800,39
4/12/2022,158.070007,162.440002,149.410004,149.850006,149.850006,4654400,40
4/13/2022,149.029999,156.160004,147.800003,154.789993,154.789993,3740500,41
4/14/2022,153.539993,154,146.820007,147.289993,147.289993,4082200,42
4/18/2022,145.449997,149.5,140.529999,145.160004,145.160004,4668700,43
4/19/2022,146.020004,152.100006,144.449997,151.270004,151.270004,2916000,44
4/20/2022,154.929993,154.960007,144.850006,147.130005,147.130005,3486000,45
4/21/2022,151.970001,153.440002,135.309998,137.320007,137.320007,6252900,46
4/22/2022,137.289993,141.199997,131.25,131.520004,131.520004,5162200,47
4/25/2022,130.009995,137.350006,129.289993,135.139999,135.139999,4066500,48
4/26/2022,135.309998,136.770004,126.519997,127.150002,127.150002,3717600,49
4/27/2022,125.279999,130.710007,121.980003,122.550003,122.550003,4658500,50
4/28/2022,123.690002,126.389999,113.32,122.690002,122.690002,8070900,51
4/29/2022,121.099998,129.089996,112.139999,112.709999,112.709999,5760900,52
5/2/2022,113.07,122.290001,111.800003,121.339996,121.339996,6229400,53
5/3/2022,120.230003,129.399994,119.970001,123.559998,123.559998,5053200,54
5/4/2022,124,132.809998,116.199997,130.149994,130.149994,6492800,55
5/5/2022,125,125.639999,112.050003,114.25,114.25,7324400,56
5/6/2022,112.5,112.5,100.25,103.739998,103.739998,9026500,57
5/9/2022,96,96.43,81.779999,83.510002,83.510002,16845400,58
5/10/2022,87,89.379997,70.190002,72.989998,72.989998,31780000,59
5/11/2022,54.849998,61.279999,50.150002,53.720001,53.720001,67080200,60
5/12/2022,48.540001,60.299999,40.830002,58.5,58.5,58789000,61
5/13/2022,69.260002,74.25,65.5,67.870003,67.870003,38264800,62
5/16/2022,68.059998,68.080002,60.509998,61.700001,61.700001,18685900,63
5/17/2022,66.199997,70.5,63.110001,70,70,15868000,64
5/18/2022,67.690002,71.809998,61.939999,63.029999,63.029999,17422700,65
5/19/2022,65,70.989998,63.610001,67.419998,67.419998,15410100,66
